"Hospital Universitario Clementino Fraga Filho - UFRJ","","",""
"Coordernação de Informatica e Rede","","","Lista de Tipo de Computadores"
"","Codigo","Descrição",""
"","1","PENTIUM 166",""
"","2","PENTIUM 133",""
"","3","PENTIUM 90",""
"","4","AMD 586 133",""
"","5","PENTIUM 150",""
"","6","AMD DUROM 800",""
"","7","PENTIUM 233",""
"","8","PENTIUM 100",""
"","9","386",""
"","10","PENTIUM 200",""
"","11","486",""
"","12","486 DX2 50",""
"","13","486 DX2 66",""
"","14","CELERON 2.53",""
"","15","PENTIUM 300",""
"","16","PENTIUM II 266",""
"","17","AMD 686 200",""
"","18","IBM 386 SX 33",""
"","19","IBM APTIVA",""
"","20","PENTIUM II 300",""
"","21","COMPAQ DESKPRO 100",""
"","22","COMPAQ 200 DUAL",""
"","23","IBM - CELERON 300GL",""
"","24","PENTIUM II 333",""
"","25","AMD 686 266",""
"","26","COMPAQ PRESARIO",""
"","27","PENTIUM II 350",""
"","28","AMD 350",""
"","29","PENTIUM 120",""
"","30","AMD K6 300",""
"","31","INTEL PENTIUM II 450",""
"","32","INTEL PENTIUM III 750",""
"","33","INTEL PENTIUM II 400",""
"","34","INTEL PENTIUM II 366",""
"","35","INTEL PENTIUM III 450",""
"","36","INTEL PENTIUM II 433",""
"","37","AMD K6 400",""
"","39","CELERON 366",""
"","41","CELERON 400",""
"","42","AMD K6 455",""
"","44","CELERON 433",""
"","45","CELERON 500",""
"","46","INTEL PENTIUM III 500",""
"","47","CELERON 300",""
"","48","CELERON 466",""
"","49","INTEL PENTIUM III 300",""
"","50","INTEL PENTIUM II 400 DUAL",""
"","51","INTEL PENTIUM III 550",""
"","53","AMD K6 200",""
"","54","AMD K6 266",""
"","55","AMD K6 II 350",""
"","56","AMD 686 MX",""
"","57","AMD K6 II 450",""
"","58","COMPAQ 486",""
"","59","INTEL PENTIUM III 800",""
"","60","CELERON 566",""
"","61","CELERON 600",""
"","62","AMD K6 II 500",""
"","63","INTEL PENTIUM III 600",""
"","65","INTEL PENTIUM III 733",""
"","66","INTEL PENTIUM III 1000",""
"Hospital Universitario Clementino Fraga Filho - UFRJ","","",""
"Coordernação de Informatica e Rede","","","Lista de Tipo de Computadores"
"","Codigo","Descrição",""
"","67","486 DX4 100",""
"","68","INTEL PENTIUM III 650",""
"","69","INTEL PENTIUM II 700",""
"","70","INTEL PENTIUM III 866",""
"","71","AMD 450",""
"","72","AMD 750",""
"","73","CYRIX 6X86MX 333",""
"","74","INTEL PENTIUM III 700",""
"","75","INTEL PENTIUM III 1.1 GHZ",""
"","76","PENTIUM 75",""
"","77","AMD 686 333",""
"","78","INTEL PENTIUM IV 1.5 GHZ",""
"","79","AMD K6 166",""
"","80","CELERON 950",""
"","81","AMD K6 500",""
"","82","INTEL PENTIUM III 700 XEON",""
"","83","INTEL PENTIUM III 1.0 GHZ",""
"","84","INTEL PENTIUM III 1133",""
"","85","INTEL PENTIUM IV 1.4 GHZ",""
"","86","INTEL PENTIUM IV 1.6 GHZ",""
"","87","AMD K6 II 300",""
"","88","AMD DUROM 850",""
"","89","INTL PENTIUM III 533E",""
"","90","AMD DUROM 995",""
"","91","AMD DUROM 950",""
"","92","INTEL PENTIUM IV 1.9 GHZ",""
"","93","INTEL PENTIUM IV 2.0 GHZ",""
"","94","INTEL PENTIUM IV 1.8 GHZ",""
"","95","AMD DUROM 1.1",""
"","96","AMD DUROM 1.2",""
"","97","INTEL PENTIUM IV 2.4 GHZ",""
"","98","ATLHON 2.0 GHZ",""
"","99","ATLHON 1.4 GHZ",""
"","100","INTEL PENTIUM IV 1.7 GHZ",""
"","101","INTEL PENTIUM IV 3.0 GHZ",""
"","102","CELERON 1300",""
"","103","ATLHON XP 1.8",""
"","104","CELERON 1.1 GHZ",""
"","105","AMD K6 II 150",""
"","106","MACINTOSH G3 350",""
"","107","CELERON 1.2 GHZ",""
"","108","AMD K6 II 400",""
"","109","ATLHON XP 1.7",""
